"Time","avgWriteLoadPerNode"
1703335820000,347.6770043380735
1703335825000,665.12323988745
1703335830000,665.12323988745
1703335835000,665.12323988745
1703335840000,665.12323988745
1703335845000,1459.2842858654678
1703335850000,1459.2842858654678
1703335855000,1459.2842858654678
1703335860000,1459.2842858654678
1703335865000,2023.7737287652735
1703335870000,2023.7737287652735
1703335875000,2023.7737287652735
1703335880000,2023.7737287652735
1703335885000,2577.2878148212585
1703335890000,2577.2878148212585
1703335895000,2577.2878148212585
1703335900000,2577.2878148212585
1703335905000,3844.58275755044
1703335910000,3844.58275755044
1703335915000,3844.58275755044
1703335920000,3844.58275755044
1703335925000,4671.990995239598
1703335930000,4671.990995239598
1703335935000,4671.990995239598
1703335940000,4671.990995239598
1703335945000,4615.589375
1703335950000,4615.589375
1703335955000,4615.589375
1703335960000,4615.589375
1703335965000,6023.203228944562
1703335970000,6023.203228944562
1703335975000,6023.203228944562
1703335980000,6023.203228944562
1703335985000,7411.729955386101
1703335990000,7411.729955386101
1703335995000,7411.729955386101
1703336000000,7411.729955386101
1703336005000,7316.554687499999
1703336010000,7316.554687499999
1703336015000,7316.554687499999
1703336020000,7316.554687499999
1703336025000,8094.305279134741
1703336030000,8094.305279134741
1703336035000,8094.305279134741
1703336040000,8094.305279134741
1703336045000,8529.95821810333
1703336050000,8529.95821810333
1703336055000,8529.95821810333
1703336060000,8529.95821810333
1703336065000,9194.838526785716
1703336070000,9194.838526785716
1703336075000,9194.838526785716
1703336080000,9194.838526785716
1703336085000,11204.71768785006
1703336090000,11204.71768785006
1703336095000,11204.71768785006
1703336100000,11204.71768785006
1703336105000,11549.306481493117
1703336110000,11549.306481493117
1703336115000,11549.306481493117
1703336120000,11549.306481493117
1703336125000,11019.775601209809
1703336130000,11019.775601209809
1703336135000,11019.775601209809
1703336140000,11019.775601209809
1703336145000,12130.961112260302
1703336150000,12130.961112260302
1703336155000,12130.961112260302
1703336160000,12130.961112260302
1703336165000,12272.098782380921
1703336170000,12272.098782380921
1703336175000,12272.098782380921
1703336180000,12272.098782380921
1703336185000,11697.10521675875
1703336190000,11697.10521675875
1703336195000,11697.10521675875
1703336200000,11697.10521675875
1703336205000,12409.923783171262
1703336210000,12409.923783171262
1703336215000,12409.923783171262
1703336220000,12409.923783171262
1703336225000,12467.454083586026
1703336230000,12467.454083586026
1703336235000,12467.454083586026
1703336240000,12467.454083586026
1703336245000,11916.09574698255
1703336250000,11916.09574698255
1703336255000,11916.09574698255
1703336260000,11916.09574698255
1703336265000,12410.516126303939
1703336270000,12410.516126303939
1703336275000,12410.516126303939
1703336280000,12410.516126303939
1703336305000,11419.12380314131
1703336310000,11419.12380314131
1703336315000,11419.12380314131
1703336320000,11419.12380314131
1703336325000,11688.501914921615
1703336330000,11688.501914921615
1703336335000,11688.501914921615
1703336340000,11688.501914921615
1703336345000,10774.780761807873
1703336350000,10774.780761807873
1703336355000,10774.780761807873
1703336360000,10774.780761807873
1703336365000,9653.61838712167
1703336370000,9653.61838712167
1703336375000,9653.61838712167
1703336380000,9653.61838712167
1703336385000,8915.63977153765
1703336390000,8915.63977153765
1703336395000,8915.63977153765
1703336400000,8915.63977153765
1703336405000,7932.468589121945
1703336410000,7932.468589121945
1703336415000,7932.468589121945
1703336420000,7932.468589121945
1703336425000,6626.560565131156
1703336430000,6626.560565131156
1703336435000,6626.560565131156
1703336440000,6626.560565131156
1703336445000,5838.218142000811
1703336450000,5838.218142000811
1703336455000,5838.218142000811
1703336460000,5838.218142000811
1703336465000,3239.877392839689
1703336470000,3239.877392839689
1703336475000,3239.877392839689
1703336480000,3239.877392839689
1703336485000,2343.3231466846732
1703336490000,2343.3231466846732
1703336495000,2343.3231466846732
1703336500000,2343.3231466846732
1703336505000,1892.7736244677835
1703336510000,1892.7736244677835
1703336515000,1892.7736244677835
1703336520000,1892.7736244677835
1703336525000,1383.344700703994
1703336530000,1383.344700703994
1703336535000,1383.344700703994
1703336540000,1383.344700703994
1703336545000,571.9788050869395
1703336550000,571.9788050869395
1703336555000,571.9788050869395
1703336560000,571.9788050869395
1703336565000,227.5680395435912
1703336570000,227.5680395435912
1703336575000,227.5680395435912
1703336580000,227.5680395435912
1703336585000,0.007394480759561064
1703336590000,0.007394480759561064
1703336595000,0.007394480759561064
1703336600000,0.007394480759561064
1703336605000,0.007768012473159418
1703336610000,0.007768012473159418
1703336615000,0.007768012473159418
1703336620000,0.007768012473159418
1703336625000,0.007394890869897987
1703336630000,0.007394890869897987
1703336635000,0.007394890869897987
1703336640000,0.007394890869897987
1703336645000,0.007395136957936462
1703336650000,0.007395136957936462
1703336655000,0.007395136957936462
1703336660000,0.007395136957936462
1703336665000,0.007775610394007129
1703336670000,0.007775610394007129
1703336675000,0.007775610394007129
1703336680000,0.007775610394007129
1703336685000,0.007401020600740843
1703336690000,0.007401020600740843
1703336695000,0.007401020600740843
1703336700000,0.007401020600740843
1703336705000,161.71076136226773
1703336710000,161.71076136226773
1703336715000,161.71076136226773
1703336720000,161.71076136226773
1703336725000,390.84892863413626
1703336730000,390.84892863413626
1703336735000,390.84892863413626
1703336740000,390.84892863413626
1703336745000,888.7121292925303
1703336750000,888.7121292925303
1703336755000,888.7121292925303
1703336760000,888.7121292925303
1703336765000,1747.1147814520164
1703336770000,1747.1147814520164
1703336775000,1747.1147814520164
1703336780000,1747.1147814520164
1703336785000,2468.491474051157
1703336790000,2468.491474051157
1703336795000,2468.491474051157
1703336800000,2468.491474051157
1703336805000,2876.8716675803626
1703336810000,2876.8716675803626
1703336815000,2876.8716675803626
1703336820000,2876.8716675803626
1703336825000,3865.5171449455133
1703336830000,3865.5171449455133
1703336835000,3865.5171449455133
1703336840000,3865.5171449455133
1703336845000,4572.980333109938
1703336850000,4572.980333109938
1703336855000,4572.980333109938
1703336860000,4572.980333109938
1703336865000,5033.588107389209
1703336870000,5033.588107389209
1703336875000,5033.588107389209
1703336880000,5033.588107389209
1703336885000,5824.265473850406
1703336890000,5824.265473850406
1703336895000,5824.265473850406
1703336900000,5824.265473850406
1703336905000,6237.971971463098
1703336910000,6237.971971463098
1703336915000,6237.971971463098
1703336920000,6237.971971463098
1703336925000,6532.536492534226
1703336930000,6532.536492534226
1703336935000,6532.536492534226
1703336940000,6532.536492534226
1703336945000,7046.104063069773
1703336950000,7046.104063069773
1703336955000,7046.104063069773
1703336960000,7046.104063069773
1703336965000,7682.131606039152
1703336970000,7682.131606039152
1703336975000,7682.131606039152
1703336980000,7682.131606039152
1703336985000,8350.824335254785
1703336990000,8350.824335254785
1703336995000,8350.824335254785
1703337000000,8350.824335254785
1703337005000,8627.306857430443
1703337010000,8627.306857430443
1703337015000,8627.306857430443
1703337020000,8627.306857430443
1703337025000,8523.190799118081
1703337030000,8523.190799118081
1703337035000,8523.190799118081
1703337040000,8523.190799118081
1703337045000,8385.04846435935
1703337050000,8385.04846435935
1703337055000,8385.04846435935
1703337060000,8385.04846435935
1703337065000,8501.996210623918
1703337070000,8501.996210623918
1703337075000,8501.996210623918
1703337080000,8501.996210623918
1703337085000,7906.410907812863
1703337090000,7906.410907812863
1703337095000,7906.410907812863
1703337100000,7906.410907812863
1703337105000,7612.875185141226
1703337110000,7612.875185141226
1703337115000,7612.875185141226
1703337120000,7612.875185141226
1703337125000,6838.779594319641
1703337130000,6838.779594319641
1703337135000,6838.779594319641
1703337140000,6838.779594319641
1703337145000,5997.253665267399
1703337150000,5997.253665267399
1703337155000,5997.253665267399
1703337160000,5997.253665267399
1703337165000,5649.974087451901
1703337170000,5649.974087451901
1703337175000,5649.974087451901
1703337180000,5649.974087451901
1703337185000,4997.963185685532
1703337190000,4997.963185685532
1703337195000,4997.963185685532
1703337200000,4997.963185685532
1703337205000,3904.8876359890696
1703337210000,3904.8876359890696
1703337215000,3904.8876359890696
1703337220000,3904.8876359890696
1703337225000,3595.625355982293
1703337230000,3595.625355982293
1703337235000,3595.625355982293
1703337240000,3595.625355982293
1703337245000,3192.20502631825
1703337250000,3192.20502631825
1703337255000,3192.20502631825
1703337260000,3192.20502631825
1703337265000,2279.3285411951533
1703337270000,2279.3285411951533
1703337275000,2279.3285411951533
1703337280000,2279.3285411951533
1703337285000,1925.9383211052884
1703337290000,1925.9383211052884
1703337295000,1925.9383211052884
1703337300000,1925.9383211052884
1703337305000,1304.963845582998
1703337310000,1304.963845582998
1703337315000,1304.963845582998
1703337320000,1304.963845582998
1703337325000,433.2006288444495
1703337330000,433.2006288444495
1703337335000,433.2006288444495
1703337340000,433.2006288444495
1703337345000,201.7094378923459
1703337350000,201.7094378923459
1703337355000,201.7094378923459
1703337360000,201.7094378923459
1703337365000,0
1703337370000,0
1703337375000,0
1703337380000,0
1703337385000,0
1703337390000,0
1703337395000,0
1703337400000,0
1703337405000,0
1703337410000,0
1703337415000,0
1703337420000,0
1703337425000,0
1703337430000,0
1703337435000,0
1703337440000,0
1703337445000,0
1703337450000,0
1703337455000,0
1703337460000,0
1703337465000,0
1703337470000,0
1703337475000,0
1703337480000,0

